,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 19:40,,70.39,35.33659087,40.82347548,46.08697548,52.90020625,74.87741298
,,1/05/2005 19:45,,70.928,35.58756083,41.11937405,46.4259735,53.29499347,75.45215755
,,1/05/2005 19:50,,68.517,34.46286084,39.79333046,44.90678349,51.52578902,72.87648999
,,1/05/2005 19:55,,68.917,34.64945562,40.01332939,45.15882663,51.81931112,73.30380937
,,1/05/2005 20:00,,69.452,34.89902612,40.30757797,45.49593433,52.21189693,73.87534904
,,1/05/2005 20:05,,67.055,33.78085695,38.98923434,43.98556583,50.45296575,71.31463765
,,1/05/2005 20:10,,66.658,33.59566164,38.77088539,43.73541302,50.16164506,70.89052317
,,1/05/2005 20:15,,66.129,33.34889005,38.4799368,43.40208597,49.77346209,70.32539329
,,1/05/2005 20:20,,67.585,34.02809502,39.28073293,44.31952299,50.84188253,71.88083583
,,1/05/2005 20:25,,65.865,33.2257375,38.3347375,43.2357375,49.5797375,70.0433625
,,1/05/2005 20:30,,64.813,32.73499325,37.75614029,42.57286405,48.80777438,68.91951253
,,1/05/2005 20:35,,65.997,33.28731377,38.40733715,43.31891174,49.67659979,70.1843779
,,1/05/2005 20:40,,65.207,32.9187891,37.97283925,42.82112654,49.09689365,69.34042212
,,1/05/2005 20:45,,64.681,32.67341697,37.68354064,42.48968982,48.71091209,68.77849714
,,1/05/2005 20:50,,65.997,33.28731377,38.40733715,43.31891174,49.67659979,70.1843779
,,1/05/2005 20:55,,64.681,32.67341697,37.68354064,42.48968982,48.71091209,68.77849714
,,1/05/2005 21:00,,63.634,32.18500516,37.10769343,41.82996691,47.94261799,67.65998866
,,1/05/2005 21:05,,65.865,33.2257375,38.3347375,43.2357375,49.5797375,70.0433625
,,1/05/2005 21:10,,65.47,33.04147516,38.11748855,42.9868449,49.28988443,69.62138461
,,1/05/2005 21:15,,68.25,34.33830883,39.64648117,44.7385447,51.32986302,72.5912543
